,Questions,Answer,question_clean
10,  What is OLS?,"OLS stands for Ordinary Least Squares. The main objective of the linear regression algorithm is to find coefficients or estimates by minimizing the error term i.e, the sum of squared errors. This process is known as OLS.This method finds the best fit line, known as regression line by minimizing the sum of square differences between the observed and predicted values.",ol
11,  What are MAE and MAPE?,"MAE stands for Mean Absolute Error, which is defined as the average of absolute or positive errors of all values. In simple words, we can say MAE is an average of absolute or positive differences between predicted values and the actual values.                                                       Image Source: Google ImagesMAPE stands for Mean Absolute Percent Error, which calculates the average absolute error in percentage terms. In simple words, It can be understood as the percentage average of absolute or positive errors.                                                        Image Source: Google Images ",mae mape
12,  Ordinary Least Squares(Statistics domain): ,To implement this in Scikit-learn we have to use the LinearRegression() class.,domain least ordinari squar statist
13,  Gradient Descent(Calculus family):,To implement this in Scikit-learn we have to use the SGDRegressor() class. ,calculu descent famili gradient
14,  Which evaluation metric should you prefer to use for a dataset having a lot of outliers in it?,"Mean Absolute Error(MAE) is preferred when we have too many outliers present in the dataset because MAE is robust to outliers whereas MSE and RMSE are very susceptible to outliers and these start penalizing the outliers by squaring the error terms, commonly known as residuals.",dataset evalu lot metric outlier prefer use
15,  Explain the normal form equation of the linear regression.,"The normal equation for linear regression is :β=(XTX)-1XTYThis is also known as the closed-form solution for a linear regression model.where,Y=βTX is the equation that represents the model for the linear regression,Y is the dependent variable or target column,β is the vector of the estimates of the regression coefficient, which is arrived at using the normal equation,X is the feature matrix that contains all the features in the form of columns. The thing to note down here is that the first column in the X matrix consists of all 1s, to incorporate the offset value for the regression line.",equat form linear normal regress
16,  When should it be preferred to the Gradient Descent method instead of the Normal Equation in Linear Regression Algorithm?,"To answer the given question, let’s first understand the difference between the Normal equation and Gradient descent method for linear regression: Needs hyper-parameter tuning for alpha (learning parameter). It is an iterative process. Time complexity- O(kn2) Preferred when n is extremely large.  No such need for any hyperparameter. It is a non-iterative process. Time complexity- O(n3) due to evaluation of XTX. Becomes quite slow for large values of n. where,‘k’ represents the maximum number of iterations used for the gradient descent algorithm, and‘n’ is the total number of observations present in the training dataset.Clearly, if we have large training data, a normal equation is not preferred for use due to very high time complexity but for small values of ‘n’, the normal equation is faster than gradient descent.",descent equat gradient instead linear method normal prefer regress
17,  What are R-squared and Adjusted R-squared?,"R-square (R2), also known as the coefficient of determination measures the proportion of the variation in your dependent variable (Y) explained by your independent variables (X) for a linear regression model.The main problem with the R-squared is that it will always remain the same or increases as we are adding more independent variables. Therefore, to overcome this problem, an Adjusted-R2 square comes into the picture by penalizing those adding independent variables that do not improve your existing model.To learn more about, R2 and adjusted-R2, refer to the link.",adjust r r squar squar
18,  What are the flaws in R-squared?,"There are two major flaws of R-squared:Problem- 1: As we are adding more and more predictors, R² always increases irrespective of the impact of the predictor on the model. As R² always increases and never decreases, it can always appear to be a better fit with the more independent variables(predictors) we add to the model. This can be completely misleading.Problem- 2: Similarly, if our model has too many independent variables and too many high-order polynomials, we can also face the problem of over-fitting the data. Whenever the data is over-fitted, it can lead to a misleadingly high R² value which eventually can lead to misleading predictions.To learn more about, flaws of R2, refer to the link.",flaw r squar
19,  What is Multicollinearity?,"It is a phenomenon where two or more independent variables(predictors) are highly correlated with each other i.e. one variable can be linearly predicted with the help of other variables. It determines the inter-correlations and inter-association among independent variables. Sometimes, multicollinearity can also be known as collinearity.                                                       Image Source: Google Images Inaccurate use of dummy variables. Due to a variable that can be computed from the other variable in the dataset.  Impacts regression coefficients i.e, coefficients become indeterminate. Causes high standard errors.  By using the correlation coefficient. With the help of Variance inflation factor (VIF), and Eigenvalues. To learn more about, multicollinearity, refer to the link.",multicollinear
20,  What is Heteroscedasticity? How to detect it?,"It refers to the situation where the variations in a particular independent variable are unequal across the range of values of a second variable that tries to predict it.                                                            Image Source: Google ImagesTo detect heteroscedasticity, we can use graphs or statistical tests such as the Breush-Pagan test and NCV test, etc.",detect heteroscedast
21,  What are the disadvantages of the linear regression Algorithm?,"The main disadvantages of linear regression are as follows: Assumption of linearity: It assumes that there exists a linear relationship between the independent variables(input) and dependent variables (output), therefore we are not able to fit the complex problems with the help of a linear regression algorithm. Outliers: It is sensitive to noise and outliers. Multicollinearity: It gets affected by multicollinearity. ",disadvantag linear regress
22,  What is VIF? How do you calculate it?,"VIF stands for Variance inflation factor, which measures how much variance of an estimated regression coefficient is increased due to the presence of collinearity between the variables. It also determines how much multicollinearity exists in a particular regression model.Firstly, it applies the ordinary least square method of regression that has Xi as a function of all the other explanatory or independent variables and then calculates VIF using the given below mathematical formula:",calcul vif
23,  Is it possible to apply Linear Regression for Time Series Analysis?,"Yes, we can apply a linear regression algorithm for doing analysis on time series data, but the results are not promising and hence is not advisable to do so.The reasons behind not preferable linear regression on time-series data are as follows: Time series data is mostly used for the prediction of the future but in contrast, linear regression generally seldom gives good results for future prediction as it is basically not meant for extrapolation. Moreover, time-series data have a pattern, such as during peak hours, festive seasons, etc., which would most likely be treated as outliers in the linear regression analysis. ",analysi appli linear possibl regress seri time
24,  What are the important assumptions of Linear regression?,"A linear relationshipRestricted Multi-collinearity valueHomoscedasticityFirstly, there has to be a linear relationship between the dependent and the independent variables. To check this relationship, a scatter plot proves to be useful.Secondly, there must no or very little multi-collinearity between the independent variables in the dataset. The value needs to be restricted, which depends on the domain requirement.The third is the homoscedasticity. It is one of the most important assumptions which states that the errors are equally distributed.",assumpt import linear regress
25,  What is heteroscedasticity?,"Heteroscedasticity is exactly the opposite of homoscedasticity, which means that the error terms are not equally distributed. To correct this phenomenon, usually, a log function is used.",heteroscedast
26,  What is the difference between R square and adjusted R square?,"R square and adjusted R square values are used for model validation in case of linear regression. R square indicates the variation of all the independent variables on the dependent variable. i.e. it considers all the independent variable to explain the variation. In the case of Adjusted R squared, it considers only significant variables(P values less than 0.05) to indicate the percentage of variation in the model.",adjust r r squar squar
27,  How to find RMSE and MSE?,"RMSE and MSE are the two of the most common measures of accuracy for a linear regression.RMSE indicates the Root mean square error, which indicated by the formulae:Where MSE indicates the Mean square error represented by the formulae:",mse rmse
28,  What are the possible ways of improving the accuracy of a linear regression model?,"There could be multiple ways of improving the accuracy of a linear regression, most commonly used ways are as follows:-Regression is sensitive to outliers, hence it becomes very important to treat the outliers with appropriate values. Replacing the values with mean, median, mode or percentile depending on the distribution can prove to be useful.",accuraci improv linear possibl regress way
29,  How to interpret a Q-Q plot in a Linear regression model?,"A Q-Q plot is used to check the normality of errors. In the above chart mentioned, Majority of the data follows a normal distribution with tails curled. This shows that the errors are mostly normally distributed but some observations may be due to significantly higher/lower values are affecting the normality of errors.",interpret linear plot q q regress
30,  What is the significance of an F-test in a linear model?,"– The use of F-test is to test the goodness of the model. When the model is re-iterated to improve the accuracy with changes, the F-test values prove to be useful in terms of understanding the effect of overall regression.",f linear signific test
31,  What are the disadvantages of the linear model?,– Linear regression is sensitive to outliers which may affect the result.– Over-fitting– Under-fitting,disadvantag linear
32,  What is linear regression?,"In simple terms, linear regression is a method of finding the best straight line fitting to the given data, i.e. finding the best linear relationship between the independent and dependent variables.  In technical terms, linear regression is a machine learning algorithm that finds the best linear-fit relationship on any given data, between independent and dependent variables. It is mostly done by the Sum of Squared Residuals Method.",linear regress
33,  What is the use of regularisation? Explain L1 and L2 regularisations.,"Regularisation is a technique that is used to tackle the problem of overfitting of the model. When a very complex model is implemented on the training data, it overfits. At times, the simple model might not be able to generalise the data and the complex model overfits. To address this problem, regularisation is used.  Regularisation is nothing but adding the coefficient terms (betas) to the cost function so that the terms are penalised and are small in magnitude. This essentially helps in capturing the trends in the data and at the same time prevents overfitting by not letting the model become too complex. ",l1 l2 regularis regularis use
34,  How to choose the value of the parameter learning rate (α)?,"Selecting the value of learning rate is a tricky business. If the value is too small, the gradient descent algorithm takes ages to converge to the optimal solution. On the other hand, if the value of the learning rate is high, the gradient descent will overshoot the optimal solution and most likely never converge to the optimal solution. To overcome this problem, you can try different values of alpha over a range of values and plot the cost vs the number of iterations. Then, based on the graphs, the value corresponding to the graph showing the rapid decrease can be chosen.  The aforementioned graph is an ideal cost vs the number of iterations curve. Note that the cost initially decreases as the number of iterations increases, but after certain iterations, the gradient descent converges and the cost does not decrease anymore.  If you see that the cost is increasing with the number of iterations, your learning rate parameter is high and it needs to be decreased. ",choos learn paramet rate valu α
35,  How to choose the value of the regularisation parameter (λ)?,"Selecting the regularisation parameter is a tricky business. If the value of λ is too high, it will lead to extremely small values of the regression coefficient β, which will lead to the model underfitting (high bias – low variance). On the other hand, if the value of λ is 0 (very small), the model will tend to overfit the training data (low bias – high variance). There is no proper way to select the value of λ. What you can do is have a sub-sample of data and run the algorithm multiple times on different sets. Here, the person has to decide how much variance can be tolerated. Once the user is satisfied with the variance, that value of λ can be chosen for the full dataset.  One thing to be noted is that the value of λ selected here was optimal for that subset, not for the entire training data. ",choos paramet regularis valu λ
36,  Can we use linear regression for time series analysis?,"One can use linear regression for time series analysis, but the results are not promising. So, it is generally not advisable to do so. The reasons behind this are — ",analysi linear regress seri time use
37,  What value is the sum of the residuals of a linear regression close to? Justify.,"Ans The sum of the residuals of a linear regression is 0. Linear regression works on the assumption that the errors (residuals) are normally distributed with a mean of 0, i.e. Y = βT X + εHere, Y is the target or dependent variable,  β is the vector of the regression coefficient, X is the feature matrix containing all the features as the columns,  ε is the residual term such that ε ~ N(0,σ2).  So, the sum of all the residuals is the expected value of the residuals times the total number of data points. Since the expectation of residuals is 0, the sum of all the residual terms is zero.  Note: N(μ,σ2) is the standard notation for a normal distribution having mean μ and standard deviation σ2.",close justifi linear regress residu sum valu
38,  How does multicollinearity affect the linear regression?,"Ans Multicollinearity occurs when some of the independent variables are highly correlated (positively or negatively) with each other. This multicollinearity causes a problem as it is against the basic assumption of linear regression. The presence of multicollinearity does not affect the predictive capability of the model. So, if you just want predictions, the presence of multicollinearity does not affect your output. However, if you want to draw some insights from the model and apply them in, let’s say, some business model, it may cause problems. One of the major problems caused by multicollinearity is that it leads to incorrect interpretations and provides wrong insights. The coefficients of linear regression suggest the mean change in the target value if a feature is changed by one unit. So, if multicollinearity exists, this does not hold true as changing one feature will lead to changes in the correlated variable and consequent changes in the target variable. This leads to wrong insights and can produce hazardous results for a business.  A highly effective way of dealing with multicollinearity is the use of VIF (Variance Inflation Factor). Higher the value of VIF for a feature, more linearly correlated is that feature. Simply remove the feature with very high VIF value and re-train the model on the remaining dataset. ",affect linear multicollinear regress
39,"  You run your regression on different subsets of your data, and in each subset, the beta value for a certain variable varies wildly. What could be the issue here?","This case implies that the dataset is heterogeneous. So, to overcome this problem, the dataset should be clustered into different subsets, and then separate models should be built for each cluster. Another way to deal with this problem is to use non-parametric models, such as decision trees, which can deal with heterogeneous data quite efficiently.",beta certain data differ issu regress run subset subset valu vari variabl wildli
40,  Your linear regression doesn’t run and communicates that there is an infinite number of best estimates for the regression coefficients. What could be wrong?,"This condition arises when there is a perfect correlation (positive or negative) between some variables. In this case, there is no unique value for the coefficients, and hence, the given condition arises.",best coeffici commun estim infinit linear regress regress run wrong
41,  What do you mean by adjusted R2? How is it different from R2?,"Adjusted R2, just like R2, is a representative of the number of points lying around the regression line. That is, it shows how well the model is fitting the training data. The formula for adjusted R2  is —   Here, n is the number of data points, and k is the number of features. One drawback of R2 is that it will always increase with the addition of a new feature, whether the new feature is useful or not. The adjusted R2 overcomes this drawback. The value of the adjusted R2 increases only if the newly added feature plays a significant role in the model.",adjust differ mean r2 r2
42,  How do you interpret the residual vs fitted value curve?,"The residual vs fitted value plot is used to see whether the predicted values and residuals have a correlation or not. If the residuals are distributed normally, with a mean around the fitted value and a constant variance, our model is working fine; otherwise, there is some issue with the model. The most common problem that can be found when training the model over a large range of a dataset is heteroscedasticity(this is explained in the answer below). The presence of heteroscedasticity can be easily seen by plotting the residual vs fitted value curve.",curv fit interpret residu v valu
43,"  What is heteroscedasticity? What are the consequences, and how can you overcome it?","A random variable is said to be heteroscedastic when different subpopulations have different variabilities (standard deviation).  The existence of heteroscedasticity gives rise to certain problems in the regression analysis as the assumption says that error terms are uncorrelated and, hence, the variance is constant. The presence of heteroscedasticity can often be seen in the form of a cone-like scatter plot for residual vs fitted values.  One of the basic assumptions of linear regression is that heteroscedasticity is not present in the data. Due to the violation of assumptions, the Ordinary Least Squares (OLS) estimators are not the Best Linear Unbiased Estimators (BLUE). Hence, they do not give the least variance than other Linear Unbiased Estimators (LUEs). There is no fixed procedure to overcome heteroscedasticity. However, there are some ways that may lead to a reduction of heteroscedasticity. They are — ",consequ heteroscedast overcom
44,  What is VIF? How do you calculate it?,"Variance Inflation Factor (VIF) is used to check the presence of multicollinearity in a dataset. It is calculated as—   Here, VIFj  is the value of VIF for the jth variable, Rj2 is the R2 value of the model when that variable is regressed against all the other independent variables.  If the value of VIF is high for a variable, it implies that the R2  value of the corresponding model is high, i.e. other independent variables are able to explain that variable. In simple terms, the variable is linearly dependent on some other variables.",calcul vif
45,  How do you know that linear regression is suitable for any given data?,"To see if linear regression is suitable for any given data, a scatter plot can be used. If the relationship looks linear, we can go for a linear model. But if it is not the case, we have to apply some transformations to make the relationship linear. Plotting the scatter plots is easy in case of simple or univariate linear regression. But in case of multivariate linear regression, two-dimensional pairwise scatter plots, rotating plots, and dynamic graphs can be plotted.",data know linear regress suitabl
46,  Explain gradient descent with respect to linear regression.,"Gradient descent is an optimisation algorithm. In linear regression, it is used to optimise the cost function and find the values of the βs (estimators) corresponding to the optimised value of the cost function. Gradient descent works like a ball rolling down a graph (ignoring the inertia). The ball moves along the direction of the greatest gradient and comes to rest at the flat surface (minima).  Mathematically, the aim of gradient descent for linear regression is to find the solution of ArgMin J(Θ0,Θ1), where J(Θ0,Θ1) is the cost function of the linear regression. It is given by —    Here, h is the linear hypothesis model, h=Θ0 + Θ1x, y is the true output, and m is the number of the data points in the training set. Gradient Descent starts with a random solution, and then based on the direction of the gradient, the solution is updated to the new value where the cost function has a lower value. The update is: Repeat until convergence ",descent gradient linear regress
47,  What is robust regression?,"A regression model should be robust in nature. This means that with changes in a few observations, the model should not change drastically. Also, it should not be much affected by the outliers.  A regression model with OLS (Ordinary Least Squares) is quite sensitive to the outliers. To overcome this problem, we can use the WLS (Weighted Least Squares) method to determine the estimators of the regression coefficients. Here, less weights are given to the outliers or high leverage points in the fitting, making these points less impactful. ",regress robust
48,  Which graphs are suggested to be observed before model fitting?,"Before fitting the model, one must be well aware of the data, such as what the trends, distribution, skewness, etc. in the variables are. Graphs such as histograms, box plots, and dot plots can be used to observe the distribution of the variables. Apart from this, one must also analyse what the relationship between dependent and independent variables is. This can be done by scatter plots (in case of univariate problems), rotating plots, dynamic plots, etc.",fit graph observ suggest
49,  What is the generalized linear model?,The generalized linear model is the derivative of the ordinary linear regression model. GLM is more flexible in terms of residuals and can be used where linear regression does not seem appropriate. GLM allows the distribution of residuals to be other than a normal distribution. It generalizes the linear regression by allowing the linear model to link to the target variable using the linking function. Model estimation is done using the method of maximum likelihood estimation.,gener linear
50,  Explain the bias-variance trade-off.,"Bias refers to the difference between the values predicted by the model and the real values. It is an error. One of the goals of an ML algorithm is to have a low bias. Variance refers to the sensitivity of the model to small fluctuations in the training dataset. Another goal of an ML algorithm is to have low variance. For a dataset that is not exactly linear, it is not possible to have both bias and variance low at the same time. A straight line model will have low variance but high bias, whereas a high-degree polynomial will have low bias but high variance. There is no escaping the relationship between bias and variance in machine learning.So, there is a trade-off between the two; the ML specialist has to decide, based on the assigned problem, how much bias and variance can be tolerated. Based on this, the final model is built.",bia trade varianc
51,  How can learning curves help create a better model?,"Learning curves give the indication of the presence of overfitting or underfitting.  In a learning curve, the training error and cross-validating error are plotted against the number of training data points. A typical learning curve looks like this:  If the training error and true error (cross-validating error) converge to the same value and the corresponding value of the error is high, it indicates that the model is underfitting and is suffering from high bias.  If there is a significant gap between the converging values of the training and cross-validating errors, i.e. the cross-validating error is significantly higher than the training error, it suggests that the model is overfitting the training data and is suffering from a high variance.  Machine Learning Engineers: Myths vs. Realities That’s the end of the first section of this series. Stick around for the next part of the series which consist of questions based on Logistic Regression. Feel free to post your comments. Co-authored by – Ojas Agarwal   Lead the AI Driven Technological Revolution   										PG Diploma in Machine Learning and Artificial Intelligence									 Learn More   ",better creat curv learn
52,  What is the difference between a Perceptron and Logistic Regression?,"A Multi-Layer Perceptron (MLP) is one of the most basic neural networks that we use for classification. For a binary classification problem, we know that the output can be either 0 or 1. This is just like our simple logistic regression, where we use a logit function to generate a probability between 0 and 1.So, what’s the difference between the two?Simply put, it is just the difference in the threshold function! When we restrict the logistic regression model to give us either exactly 1 or exactly 0, we get a Perceptron model: ",logist perceptron regress
53,  Can we have the same bias for all neurons of a hidden layer?,"Essentially, you can have a different bias value at each layer or at each neuron as well. However, it is best if we have a bias matrix for all the neurons in the hidden layers as well.A point to note is that both these strategies would give you very different results. ",bia hidden layer neuron
54,"  What if we do not use any activation function(s) in a neural network?
","The main aim of this question is to understand why we need activation functions in a neural network. You can start off by giving a simple explanation of how neural networks are built:Step 1: Calculate the sum of all the inputs (X) according to their weights and include the bias term:Z = (weights * X) + biasStep 2: Apply an activation function to calculate the expected output:Y = Activation(Z)Steps 1 and 2 are performed at each layer. If you recollect, this is nothing but forward propagation! Now, what if there is no activation function?Our equation for Y essentially becomes:Y = Z = (weights * X) + biasWait – isn’t this just a simple linear equation? Yes – and that is why we need activation functions. A linear equation will not be able to capture the complex patterns in the data – this is even more evident in the case of deep learning problems.In order to capture non-linear relationships, we use activation functions, and that is why a neural network without an activation function is just a linear regression model. ",activ function network neural use
55,"  In a neural network, what if all the weights are initialized with the same value?","In simplest terms, if all the neurons have the same value of weights, each hidden unit will get exactly the same signal. While this might work during forward propagation, the derivative of the cost function during backward propagation would be the same every time.In short, there is no learning happening by the network! What do you call the phenomenon of the model being unable to learn any patterns from the data? Yes, underfitting.Therefore, if all weights have the same initial value, this would lead to underfitting.Note: This question might further lead to questions on exploding and vanishing gradients, which I have covered below. ",initi network neural valu weight
56,  List the supervised and unsupervised tasks in Deep Learning.,"Now, this can be one tricky question. There might be a misconception that deep learning can only solve unsupervised learning problems. This is not the case. Some example of Supervised Learning and Deep learning include:On the other hand, there are some unsupervised deep learning techniques as well:Here is a great article on applications of Deep Learning for unsupervised tasks: ",deep learn list supervis task unsupervis
57,  What is the role of weights and bias in a neural network?,"This is a question best explained with a real-life example. Consider that you want to go out today to play a cricket match with your friends. Now, a number of factors can affect your decision-making, like:And so on. These factors can change your decision greatly or not too much. For example, if it is raining outside, then you cannot go out to play at all. Or if you have only one bat, you can share it while playing as well. The magnitude by which these factors can affect the game is called the weight of that factor.Factors like the weather or temperature might have a higher weight, and other factors like equipment would have a lower weight.However, does this mean that we can play a cricket match with only one bat? No – we would need 1 ball and 6 wickets as well. This is where bias comes into the picture. Bias lets you assign some threshold which helps you activate a decision-point (or a neuron) only when that threshold is crossed. ",bia network neural role weight
58,  How does forward propagation and backpropagation work in deep learning?,"Now, this can be answered in two ways. If you are on a phone interview, you cannot perform all the calculus in writing and show the interviewer. In such cases, it best to explain it as such:For an in-person interview, it is best to take up the marker, create a simple neural network with 2 inputs, a hidden layer, and an output layer, and explain it.Forward propagation:Backpropagation:At layer L2, for all weights:At layer L1, for all weights:You need not explain with respect to the bias term as well, though you might need to expand the above equations substituting the actual derivatives. ",backpropag deep forward learn propag work
59,  What are the common data structures used in Deep Learning?,"Deep Learning goes right from the simplest data structures like lists to complicated ones like computation graphs.Here are the most common ones: Once the basics are out of the way, the interview would lead to slightly advanced deep learning concepts. These questions are much easier to answer if you have considerable practice with not only the mathematical concepts but also with coding them.Additionally, these questions can also become more project-specific. As a general rule of thumb, it is best to include examples of how you have used the concept asked in the question in your own projects. This has two advantages:Here, I have given an overview of the key concepts in the questions – you can always customize your answers to add more about your experiences with some of these deep learning algorithms and techniques. ",common data deep learn structur
60,  Why should we use Batch Normalization?,"Once the interviewer has asked you about the fundamentals of deep learning architectures, they would move on to the key topic of improving your deep learning model’s performance.Batch Normalization is one of the techniques used for reducing the training time of our deep learning algorithm. Just like normalizing our input helps improve our logistic regression model, we can normalize the activations of the hidden layers in our deep learning model as well:We basically normalize a[1] and a[2] here. This means we normalize the inputs to the layer, and then apply the activation functions to the normalized inputs.Here is an article that explains Batch Normalization and other techniques for improving Neural Networks: Neural Networks – Hyperparameter Tuning, Regularization & Optimization. ",batch normal use
61,  List the activation functions you have used so far in your projects and how you would choose one.,"The most common activation functions are:While it is not important to know all the activation functions, you can always score points by knowing the range of these functions and how they are used. Here is a handy table for you to follow:Here is a great guide on how to use these and other activations functions: Fundamentals of Deep Learning – Activation Functions and When to Use Them?.",activ choos far function list project would
62,  Why does a Convolutional Neural Network (CNN) work better with image data?,"The key to this question lies in the Convolution operation. Unlike humans, the machine sees the image as a matrix of pixel values. Instead of interpreting a shape like a petal or an ear, it just identifies curves and edges.Thus, instead of looking at the entire image, it helps to just read the image in parts. Doing this for a 300 x 300 pixel image would mean dividing the matrix into smaller 3 x 3 matrices and dealing with them one by one. This is convolution.Mathematically, we just perform a small operation on the matrix to help us detect features in the image – like boundaries, colors, etc.Z = X * fHere, we are convolving (* operation – not multiplication) the input matrix X with another small matrix f, called the kernel/filter to create a new matrix Z. This matrix is then passed on to the other layers.If you have a board/screen in front of you, you can always illustrate this with a simple example:Learning more about how CNNs work here. ",better cnn convolut data network neural work
63,  Why do RNNs work better with text data?,"The main component that differentiates Recurrent Neural Networks (RNN) from the other models is the addition of a loop at each node. This loop brings the recurrence mechanism in RNNs. In a basic Artificial Neural Network (ANN), each input is given the same weight and fed to the network at the same time. So, for a sentence like “I saw the movie and hated it”, it would be difficult to capture the information which associates “it” with the “movie”.The addition of a loop is to denote preserving the previous node’s information for the next node, and so on. This is why RNNs are much better for sequential data, and since text data also is sequential in nature, they are an improvement over ANNs.",better data rnn text work
64,"  In a CNN, if the input size 5 X 5 and the filter size is 7 X 7, then what would be the size of the output?","This is a pretty intuitive answer. As we saw above, we perform the convolution on ‘x’ one step at a time, to the right, and in the end, we got Z with dimensions 2 X 2, for X with dimensions 3 X 3.Thus, to make the input size similar to the filter size, we make use of padding – adding 0s to the input matrix such that its new size becomes at least 7 X 7. Thus, the output size would be using the formula:Dimension of image = (n, n) = 5 X 5Dimension of filter = (f,f)  = 7 X 7Padding = 1 (adding 1 pixel with value 0 all around the edges)Dimension of output will be (n+2p-f+1) X (n+2p-f+1) = 1 X 1 ",5 5 7 7 cnn filter input output size size size would x x
65,  What’s the difference between valid and same padding in a CNN?,"This question has more chances of being a follow-up question to the previous one. Or if you have explained how you used CNNs in a computer vision task, the interviewer might ask this question along with the details of the padding parameters. ",cnn pad valid
